PROGRAM,mtype,msize,mlevel,nsize,fmin,df,chisq,rmr,srmr,gfi,agfi,rmsea,cfi,nnfi,nfi,gamma,npar
R,SEM,small,LV1,200,0.046478065,5,18.5912261,0.451724475,0.046052118,0.969782834,0.873087903,0.110461956,0.972885483,0.91887597,0.964046618,0.977955376,16
R,SEM,small,LV1,500,0.03984787,5,39.84787005,0.450075187,0.045297588,0.973585821,0.889060447,0.116262111,0.972372302,0.917116905,0.968770825,0.977355718,16
R,SEM,small,LV1,1000,0.038941954,5,77.88390873,0.458749586,0.045900194,0.974010813,0.890845414,0.11986666,0.971041522,0.913124566,0.969237034,0.97631285,16
R,CFA,big,LV2,100,0.687525113,86,137.5050227,0.089089253,0.077763233,0.854866275,0.797487825,0.075879471,0.937208076,0.923335442,0.850558166,0.936280448,34
R,CFA,big,LV2,200,0.446421601,86,178.5686402,0.079452666,0.067813202,0.897761529,0.857341668,0.072816131,0.942840019,0.930211651,0.896322263,0.942058429,34
R,CFA,big,LV2,500,0.311656089,86,311.6560892,0.073048192,0.060623336,0.92544173,0.895965205,0.072247295,0.94434112,0.932044391,0.925050488,0.943305197,34
R,CFA,big,LV2,1000,0.268370678,86,536.7413558,0.070839713,0.058307748,0.934873238,0.909125448,0.072316676,0.944327504,0.932027766,0.934546973,0.943334797,34
R,CFA,small,LV2,100,0.087583533,3,17.51670664,0.13781829,0.118948542,0.927944342,0.759814473,0.211273765,0.923534488,0.847163652,0.91044397,0.933421859,7
R,CFA,small,LV2,200,0.082661379,3,33.06455167,0.138746331,0.119403716,0.930866198,0.769553993,0.220117858,0.921086443,0.842172887,0.914489383,0.930668887,7
R,CFA,small,LV2,500,0.078846281,3,78.84628096,0.138445289,0.118638793,0.933086407,0.776954688,0.223548177,0.920602753,0.841205507,0.917969364,0.929711178,7
R,CFA,small,LV2,1000,0.076682794,3,153.3655873,0.137395388,0.117960319,0.934612879,0.782042931,0.223165123,0.921153479,0.842306957,0.919829604,0.930189628,7
R,SEM,big,LV2,100,0.435827899,49,87.16557988,7.550275741,0.042456286,0.880138871,0.809200651,0.086399585,0.970540938,0.96033117,0.935846844,0.940684298,29
R,SEM,big,LV2,200,0.302992924,49,121.1971695,6.893154227,0.038172424,0.911594294,0.85927255,0.084966112,0.972187081,0.962537701,0.954432404,0.943485096,29
R,SEM,big,LV2,500,0.225693688,49,225.6936877,6.449484056,0.035363925,0.932014956,0.89177891,0.084630819,0.972850631,0.963431463,0.965664916,0.944459629,29
R,SEM,big,LV2,1000,0.202480342,49,404.9606836,6.326104242,0.034533277,0.93845442,0.902029485,0.085110381,0.972668432,0.963186051,0.969061995,0.944029701,29
R,SEM,small,LV2,100,0.131129461,8,26.22589213,0.691285287,0.073113775,0.926706371,0.807604225,0.145363784,0.927704282,0.864581375,0.901623308,0.943446305,13
R,SEM,small,LV2,200,0.107609937,8,43.0439747,0.638769386,0.066167173,0.938416685,0.838343797,0.145713201,0.92999335,0.86873753,0.916426682,0.945154196,13
R,SEM,small,LV2,500,0.098414918,8,98.41491801,0.617276566,0.062947807,0.943290523,0.851137622,0.149491913,0.928316496,0.865593429,0.922880683,0.943287383,13
R,SEM,small,LV2,1000,0.095944404,8,191.8888082,0.617871195,0.062937022,0.944553385,0.854452636,0.151227752,0.927011284,0.863146157,0.924285417,0.942307479,13
SAS,CFA,small,TRU,100,0.0105212,1,1.0415973,0.0094682,0.0093977,0.9949163,0.9491634,0.0361254,0.997013,0.9988738,0.9945858,0.999347903,9
SAS,CFA,small,TRU,200,0.0049127,1,0.977621,0.0066067,0.0064972,0.9975817,0.9758174,0.0230763,0.9987382,1.0003756,0.9974505,0.999733813,9
SAS,CFA,small,TRU,500,0.0021091,1,1.0524174,0.0043516,0.0042705,0.9989518,0.9895185,0.016506,0.9994377,0.9996502,0.9988979,0.999863795,9
SAS,CFA,small,TRU,1000,0.0010818,1,1.0807001,0.0031078,0.0030478,0.9994609,0.9946088,0.0119312,0.9997084,0.9997492,0.9994349,0.999928828,9
SAS,CFA,big,TRU,100,0.9246511,84,91.5404619,0.0574378,0.053694,0.8968549,0.8526499,0.0273063,0.987458,0.9886628,0.8996976,0.991718062,36
SAS,CFA,big,TRU,200,0.440443,84,87.6481479,0.0402476,0.0375647,0.9461575,0.9230822,0.0144723,0.9955917,0.9972176,0.9488657,0.997659678,36
SAS,CFA,big,TRU,500,0.1720019,84,85.8289627,0.0254428,0.0237105,0.977833,0.9683328,0.0082939,0.9984192,0.9994424,0.9792728,0.999230159,36
SAS,CFA,big,TRU,1000,0.0844524,84,84.3679294,0.0179699,0.0167143,0.9889333,0.9841904,0.005219,0.9993201,0.9999491,0.9897147,0.999695028,36
SAS,SEM,small,TRU,100,0.0419216,4,4.1502379,0.173713,0.0216197,0.9866175,0.9297421,0.0323672,0.9952517,0.9984066,0.984187,0.998605101,17
SAS,SEM,small,TRU,200,0.0211898,4,4.216775,0.1187296,0.0148852,0.9931027,0.9637894,0.0231297,0.9976459,0.998769,0.9918715,0.999287198,17
SAS,SEM,small,TRU,500,0.0082191,4,4.1013118,0.0725428,0.0091086,0.9972833,0.9857376,0.0143471,0.9991184,0.9997277,0.9967697,0.999725623,17
SAS,SEM,small,TRU,1000,0.0040476,4,4.043541,0.0502657,0.0063165,0.9986565,0.9929466,0.0091863,0.9995891,0.9999306,0.9984037,0.999887495,17
SAS,SEM,big,TRU,100,0.4918488,46,48.6930302,4.6725131,0.0258166,0.9278908,0.8777278,0.024028,0.9957556,0.997078,0.9640051,0.995593196,32
SAS,SEM,big,TRU,200,0.2384257,46,47.4467162,3.291143,0.0181122,0.9627147,0.9367771,0.0150973,0.9982499,0.9992236,0.9821192,0.998255597,32
SAS,SEM,big,TRU,500,0.0945874,46,47.1991046,2.0553748,0.0112535,0.9846464,0.9739656,0.0092252,0.9992713,0.9997353,0.9928056,0.999347959,32
SAS,SEM,big,TRU,1000,0.0463739,46,46.3275432,1.4550051,0.0079304,0.9923711,0.987064,0.0060401,0.9996937,0.9999631,0.9964598,0.999720377,32
